TAIUTC       26     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
801113    2444556.500000000000     -.076458    .00549   .36919
801114    2444557.500000000000     -.078581    .00659   .36959
801115    2444558.500000000000     -.080833    .00779   .36999
801116    2444559.500000000000     -.083261    .00899   .37039
801117    2444560.500000000000     -.085891    .01029   .37069
801118    2444561.500000000000     -.088722    .01159   .37109
801119    2444562.500000000000     -.091710    .01289   .37149
801120    2444563.500000000000     -.094787    .01429   .37179
801121    2444564.500000000000     -.097809    .01579   .37209
801122    2444565.500000000000     -.100713    .01729   .37239
801123    2444566.500000000000     -.103447    .01879   .37259
801124    2444567.500000000000     -.106016    .02029   .37289
801125    2444568.500000000000     -.108443    .02199   .37309
801126    2444569.500000000000     -.110788    .02359   .37329
801127    2444570.500000000000     -.113130    .02529   .37339
801128    2444571.500000000000     -.115481    .02689   .37359
801129    2444572.500000000000     -.117874    .02849   .37369
801130    2444573.500000000000     -.120287    .03019   .37379
801201    2444574.500000000000     -.122707    .03169   .37389
801202    2444575.500000000000     -.125129    .03329   .37399
801203    2444576.500000000000     -.127511    .03479   .37409
801204    2444577.500000000000     -.129850    .03629   .37419
801205    2444578.500000000000     -.132138    .03769   .37419
801206    2444579.500000000000     -.134350    .03899   .37429
801207    2444580.500000000000     -.136499    .04029   .37419
801208    2444581.500000000000     -.138587    .04149   .37419
801209    2444582.500000000000     -.140656    .04279   .37409
801210    2444583.500000000000     -.142740    .04399   .37399
801211    2444584.500000000000     -.144892    .04519   .37379
801212    2444585.500000000000     -.147164    .04639   .37349
801213    2444586.500000000000     -.149599    .04759   .37309
801214    2444587.500000000000     -.152210    .04890   .37280
801215    2444588.500000000000     -.154994    .05010   .37230
801216    2444589.500000000000     -.157906    .05140   .37180
801217    2444590.500000000000     -.160867    .05270   .37120
801218    2444591.500000000000     -.163777    .05410   .37060
801219    2444592.500000000000     -.166555    .05550   .36990
801220    2444593.500000000000     -.169159    .05700   .36920
801221    2444594.500000000000     -.171545    .05840   .36840
801222    2444595.500000000000     -.173781    .05990   .36750
801223    2444596.500000000000     -.175918    .06140   .36670
801224    2444597.500000000000     -.178040    .06280   .36580
801225    2444598.500000000000     -.180193    .06430   .36480
801226    2444599.500000000000     -.182391    .06570   .36380
801227    2444600.500000000000     -.184666    .06710   .36290
801228    2444601.500000000000     -.186990    .06840   .36190
801229    2444602.500000000000     -.189352    .06960   .36100
801230    2444603.500000000000     -.191723    .07070   .36010
801231    2444604.500000000000     -.194101    .07170   .35920
810101    2444605.500000000000     -.196450    .07260   .35840
810102    2444606.500000000000     -.198736    .07340   .35760
810103    2444607.500000000000     -.200962    .07410   .35690
810104    2444608.500000000000     -.203124    .07470   .35630
810105    2444609.500000000000     -.205231    .07520   .35570
810106    2444610.500000000000     -.207321    .07560   .35510
810107    2444611.500000000000     -.209443    .07600   .35460
810108    2444612.500000000000     -.211656    .07640   .35410
810109    2444613.500000000000     -.214005    .07670   .35360
810110    2444614.500000000000     -.216518    .07690   .35310
810111    2444615.500000000000     -.219177    .07710   .35260
810112    2444616.500000000000     -.221965    .07730   .35210
810113    2444617.500000000000     -.224806    .07750   .35160
810114    2444618.500000000000     -.227620    .07760   .35090
810115    2444619.500000000000     -.230352    .07770   .35030
810116    2444620.500000000000     -.232946    .07780   .34950
810117    2444621.500000000000     -.235393    .07790   .34880
810118    2444622.500000000000     -.237709    .07800   .34800
810119    2444623.500000000000     -.239945    .07810   .34710
810120    2444624.500000000000     -.242173    .07821   .34621
810121    2444625.500000000000     -.244439    .07831   .34531
810122    2444626.500000000000     -.246774    .07841   .34431
810123    2444627.500000000000     -.249194    .07851   .34341
810124    2444628.500000000000     -.251640    .07881   .34231
810125    2444629.500000000000     -.254091    .07911   .34131
810126    2444630.500000000000     -.256510    .07961   .34021
810127    2444631.500000000000     -.258861    .08021   .33921
810128    2444632.500000000000     -.261119    .08091   .33811
810129    2444633.500000000000     -.263242    .08181   .33701
810130    2444634.500000000000     -.265222    .08281   .33601
810131    2444635.500000000000     -.267072    .08381   .33491
810201    2444636.500000000000     -.268835    .08491   .33391
810202    2444637.500000000000     -.270539    .08601   .33301
810203    2444638.500000000000     -.272234    .08701   .33211
810204    2444639.500000000000     -.273972    .08811   .33131
810205    2444640.500000000000     -.275878    .08911   .33051
810206    2444641.500000000000     -.278027    .09001   .32971
810207    2444642.500000000000     -.280414    .09081   .32901
810208    2444643.500000000000     -.283013    .09161   .32841
810209    2444644.500000000000     -.285739    .09221   .32771
810210    2444645.500000000000     -.288514    .09271   .32711
810211    2444646.500000000000     -.291273    .09301   .32651
810212    2444647.500000000000     -.293909    .09311   .32591
810213    2444648.500000000000     -.296418    .09301   .32521
810214    2444649.500000000000     -.298809    .09271   .32451
810215    2444650.500000000000     -.301114    .09231   .32381
810216    2444651.500000000000     -.303355    .09181   .32311
